geneset	Pt1	Pt2	Pt4	Pt5	Pt6	Pt7	Pt8	Pt9	Pt10	Pt12	Pt13	Pt14	Pt15	Pt16	Pt19	Pt20	Pt22	Pt23	Pt25	Pt27A	Pt27B	Pt28	Pt29	Pt31	Pt32	Pt35	Pt37	Pt38
ROY_WOUND_BLOOD_VESSEL_UP	0.494895985792785	-0.424110161846142	-0.419070102386795	-0.438704669329848	-0.0134589508150998	-0.200643749693671	0.0663959598422036	-0.291872318088885	0.283999486030207	0.257420143400618	0.504476734468033	0.369669635361961	-0.335495087025273	0.0875743235794088	0.0267720784333379	-0.309594878941352	0.607154105999917	0.538334573168022	-0.342196534545383	-0.205853476937066	-0.414980783349758	-0.0299516106244178	-0.257374801075838	0.396960089412115	0.342665561411784	-0.175656839138694	-0.503434743592532	-0.232171878627142
WONG_ENDMETRIUM_CANCER_DN	0.349243658794908	-0.329248535892889	-0.230858215969666	-0.492647558469779	0.0678310228291213	-0.184688248478055	-0.0201425892869088	0.129746346210007	0.379321525162046	0.157529444429071	0.267810350237312	0.160936349209266	-0.319633393781425	-0.158872424315628	0.266182367534455	-0.2879406162018	0.490621634822504	0.209732351111486	0.268899298056829	-0.232267732982871	-0.446019286371025	-0.118743309820862	0.153895516404282	0.374412730884173	0.491064722483793	-0.351491504651321	-0.394496347215816	-0.369580653206604
CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN	0.299704439838459	-0.277193151237885	-0.19378455746176	-0.262597981691145	0.142647291925707	-0.0556663108348234	-0.0738915470494658	-0.20298455769381	0.464425612035145	0.324985239083916	0.405153365553154	0.438696419905776	-0.339713675013209	0.249881868503618	0.0339188295886216	-0.426700836573194	0.176595754243931	0.223814870102158	-0.334616464511562	-0.105099184865065	-0.250939907072994	-0.400701253317767	-0.427558139126414	0.322949966374166	0.293134605275705	-0.0768814145376927	-0.280934956275533	-0.163945972543898
LOPES_METHYLATED_IN_COLON_CANCER_DN	0.0550714967606358	-0.218081604970441	0.0629571444507196	-0.325795530558257	-0.299605269960529	0.0227389845619293	-0.0781626439963169	-0.138923975240826	-0.0508376006342919	-0.202424889938356	-0.303453068316684	-0.126585659664645	0.199066117601	-0.0461947740289454	0.176159526757298	0.16181060711371	-0.0189023116906457	0.0662083682736191	0.0777486326974141	0.0802060033437982	-0.150822038677137	-0.0330246419037365	-0.270831319644623	0.0545184883693089	-0.0463906175844735	-0.196819924509449	0.0589196477271272	0.132383994235052
JAEGER_METASTASIS_UP	-0.410873480936063	-0.422358334591658	0.193268769738787	-0.271387709257447	0.0496810869755271	0.00858739236806816	-0.0705130471112221	-0.3042484699783	0.268715382928886	0.228363807793756	-0.00896860056412843	0.399963758835996	0.106880844858778	0.127066459124793	0.0494326931441333	-0.427311710306727	0.240718136996277	0.424127393201297	0.0887078498666732	0.289995818354154	-0.220448825501555	-0.58485077860836	0.284340854441222	0.288463545473794	-0.0852503959739283	0.411173639324729	-0.299743484842795	-0.457950684275416
POOLA_INVASIVE_BREAST_CANCER_UP	0.0508078561642342	-0.281496455201544	-0.189729410515546	-0.420639395517277	-0.228954447218828	-0.284913287621856	-0.286497878951701	-0.177742547630761	-0.221658024941355	0.0342458169483726	0.230299713175754	0.277132628770071	-0.0329055685929313	-0.122194979511642	-0.0591516939850086	0.239955197599716	0.555405902748361	0.514649524427185	0.109656775785726	0.312151580551624	-0.284217562168564	-0.236829799408577	0.303718322890205	-0.0429915057543126	-0.309395980977129	-0.0756769892498188	-0.366149463949585	0.425443248987844
VALK_AML_WITH_CEBPA	0.362239471976444	-0.159036255683065	-0.0489756710466494	-0.207370617377069	-0.1824308508634	-0.0663152417208727	-0.251749753171559	0.0418513486735051	0.0884366141614569	0.291941902039711	0.390099044381207	0.177174711650351	-0.276770180700453	-0.256255744675522	-0.0540154384414053	0.0899668155032179	0.326243694149288	0.232918582010015	-0.018128372240875	0.008114752023241	-0.263581193773038	-0.0316822276570646	-0.163556832185162	-0.0792492891309576	0.133781927914356	-0.307227285173385	-0.227851808139154	-0.0157905170804298
SATO_SILENCED_BY_DEACETYLATION_IN_PANCREATIC_CANCER	-0.131016714414457	0.105883967309352	-0.223372932551181	-0.0862055231822493	-0.138469220645838	0.0711569829706148	0.199859529156795	-0.19533477555765	0.152707865738471	0.00403808458464226	-0.0063076211624197	-0.0277701947836623	-0.226908974093053	0.238435251237411	0.205623247923054	-0.136580639025367	0.162564199185268	0.251266766994239	0.148151913596127	-0.211888465296488	-0.183817935993294	0.219006903498025	-0.11724953723021	0.384431987326703	0.350952439131172	-0.112867979326005	0.121495961255436	0.000401291883023847
GU_PDEF_TARGETS_UP	0.263892158742426	-0.307189002633388	-0.232666166615169	-0.0926743178588411	0.00643117046552348	0.115333330503792	-0.282863292719501	-0.276238127911358	0.396635884596414	0.32405574016798	0.32347780438175	0.447356497452991	-0.497152257467257	-0.0897041694611863	0.0729127407133287	-0.440028836008458	0.352140338254119	0.166501069063243	-0.2383212198183	-0.00160089756520909	-0.0702382964461274	-0.132619081303642	-0.3659925689894	0.135553564568936	0.419411874019981	-0.215243597588313	-0.317567790690887	-0.219794806141146
LU_TUMOR_VASCULATURE_UP	-0.0179228898762273	-0.448009504961763	-0.425185133770138	-0.464091729106504	-0.231761416987734	0.0464591323253487	0.165556600405448	-0.379056302541778	0.184676043311839	0.0271650697015141	0.41948001716646	0.371576512451324	-0.126153287607202	0.201303991900391	0.19301369894546	-0.0336573482161777	0.354365121805526	0.393049114750993	0.0935996439246428	0.0420630559736946	-0.245229362974764	0.137411891557684	-0.140676449036148	0.376930036586571	0.227500064313277	-0.349256585931411	-0.340672670775762	-0.296279741995468
SWEET_KRAS_TARGETS_UP	-0.0843405009178571	0.487480885008862	0.0394242435290759	-0.128462496216705	-0.17025397124864	-0.0920161803565873	-0.106401331344476	0.0886759307318559	0.0420653066347804	0.173207922884272	-0.0195661722981727	0.146218824939713	-0.454862377019405	0.225591140139263	-0.0120980075468048	-0.0853964095653618	-0.384103566863271	-0.25023271423074	0.0163304611978969	0.0552916882247325	0.146370254354387	-0.113088139910185	-0.481652525276247	-0.292607101000532	0.12231869540124	-0.28531065132301	0.2215351874564	0.0388887631291355
CROONQUIST_STROMAL_STIMULATION_UP	0.292161202854344	-0.0267890175060838	-0.506106720983544	-0.533501165894667	-0.160953358873548	-0.0755670293762879	0.134191551333192	-0.133076210086467	0.234281103014759	0.0911731637811137	0.46593171294517	0.372451272238358	-0.26956152922454	0.356704125849418	0.224112287279202	-0.339523009106104	0.484124761099854	0.435819718723312	-0.150497309521093	-0.197959410850758	-0.419531322503411	0.0886063846606749	-0.230888878886133	0.471793489775719	0.317140489191502	-0.451599085062581	-0.43795452462137	-0.119895506248185
VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_UP	0.415757686277322	-0.31869875037844	-0.211450736604416	-0.38992477983899	0.215395267132992	-0.142718415114731	-0.0922502445595665	-0.183760431187899	0.426806417858625	0.279135134544554	0.573672519850759	0.309922297039296	-0.289842354574556	0.0957489992556032	-0.127831977581355	-0.218487745154932	0.572183887840106	0.378759655888985	-0.402804663286897	-0.0480047207707112	-0.302623114631264	-0.331822767232376	-0.191215541944966	-0.000886358264272413	0.349389722543033	-0.308762222190642	-0.53052151573985	-0.398324936620451
VALK_AML_CLUSTER_9	0.321030559724451	-0.199641758963745	-0.449125911738848	-0.426259418182576	-0.0804036975634529	0.232931773227571	0.0318659551325006	0.155397662366154	0.294713308702672	0.167583613594221	0.479557811668109	-0.0078890509636689	-0.132526520093453	-0.0101384401920175	0.373067799233088	-0.132029515297177	0.362604676050886	0.270281487933289	-0.221003357539093	-0.251316283634696	-0.397761906146749	-0.310827440848539	-0.262822012802067	0.22497117085679	0.118767956509715	-0.340952337928711	-0.391416995423007	-0.133885253918885
LINDGREN_BLADDER_CANCER_HIGH_RECURRENCE	0.383973542034813	-0.442537995810176	-0.371392181149228	-0.333056260529397	-0.390319749758952	0.0433775130545839	-0.198129476344717	0.00651858913852649	0.326939544281158	0.0655630296432198	0.308349074212236	0.33037313582759	-0.451444219065586	-0.17524512053384	0.328642578373064	-0.169501303785362	0.465014013489418	0.316654407434234	-0.0119646241977631	-0.0373328661171532	-0.250215927128826	-0.331690751837518	-0.380619794504786	0.483189954949399	0.217674370550079	-0.0532996914615769	-0.403319257324856	-0.129864213097255
ROZANOV_MMP14_TARGETS_SUBSET	0.367020320053186	-0.451496540804403	-0.434529296906575	-0.528069076622246	0.144241287525906	-0.333335407056309	-0.217553260679957	-0.0336595672959853	0.569455374980605	0.473968189553971	0.488764155911047	0.407149125293947	-0.240623749421692	0.327827861804928	0.162777019501311	-0.483419988115659	0.555998300427302	0.400195589848251	-0.230201800599084	0.076168106412867	-0.183736946673992	-0.25008025662735	-0.25869882190574	0.324213202513899	0.386081661899005	0.0490062657958621	-0.651030780948071	-0.258664975428567
VANHARANTA_UTERINE_FIBROID_UP	0.050114050413709	-0.301231441754996	0.0142851733096849	-0.0624243157806513	0.17161132653443	0.275641556265134	-0.273960488377805	-0.290511966424662	0.480982619202201	0.0873501462124027	0.408773717791011	-0.022899757530213	-0.495252139965618	-0.0923839552233505	0.067431445592944	-0.413429217060497	0.440178837042782	0.148777203766555	-0.305361628764131	-0.0583899249061123	-0.0958381232600768	-0.316581319196537	0.263106430221888	0.172331293186178	0.413368605635953	-0.0956295565280229	-0.385448015766994	-0.414449152114339
GILDEA_METASTASIS	0.38202954003357	-0.0520704150093733	-0.450099707678464	-0.507182586022559	-0.370148959062368	-0.371736763463272	0.0994023808848451	0.388909254360509	-0.128155644334757	0.0449413641156401	0.508759635536609	0.404918116639308	-0.22532062926797	0.129645182099184	0.0697729901820946	0.0689069805026596	0.522528998153513	0.330184947668288	0.242937030753705	0.068870864010555	-0.293446967179337	-0.228910792386154	-0.124608278860074	0.0605988738258193	0.135365123558566	-0.133371731342673	-0.518159850821151	-0.0304965054741306
RIGGI_EWING_SARCOMA_PROGENITOR_DN	0.426860302878643	-0.189923656590544	-0.266625848828618	-0.199859032889517	-0.132424765559882	0.0369142969862083	-0.0741056145259066	0.183212493456329	0.359683811494269	0.344401325178311	0.397556157545443	0.452356944957834	-0.362734248392838	-0.136495059594835	-0.0154060196325859	-0.342352437785336	0.457181699288379	0.0658200277764586	-0.306604965706026	0.140358678916443	-0.241049561171454	-0.164465887416021	-0.152298877827875	-0.0935494812685295	0.32374786199613	-0.104536730152107	-0.447601377766919	-0.291758056858051
