geneset	Pt1	Pt2	Pt3	Pt4	Pt5
ROY_WOUND_BLOOD_VESSEL_UP	-0.436193843892763	-0.424293937580693	0.180599758702462	0.443237626192159	0.361386839221909
WONG_ENDMETRIUM_CANCER_DN	-0.483057402722065	-0.312543277215226	0.293215108009939	0.566186718169079	0.20503899293616
CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN	-0.363586588362865	-0.473798862295499	0.310027171084078	0.465688905439737	-0.00218256215634921
LOPES_METHYLATED_IN_COLON_CANCER_DN	-0.235797177832742	0.238782027485791	-0.0289389828308591	-0.159045104556805	0.0854214587761129
JAEGER_METASTASIS_UP	-0.373229039200368	-0.0876836386159131	0.258803039878205	-0.018355703672238	0.227407974858266
POOLA_INVASIVE_BREAST_CANCER_UP	-0.40386997779487	-0.154614484926785	-0.300234613039821	0.254511657100277	0.483075823941171
VALK_AML_WITH_CEBPA	-0.260414568579182	-0.298455048815845	-0.00924396278731768	0.357435842814209	0.155040652234148
SATO_SILENCED_BY_DEACETYLATION_IN_PANCREATIC_CANCER	0.093470932884303	-0.262869488144464	0.119407012271611	0.16728476336884	0.248611971661543
GU_PDEF_TARGETS_UP	-0.189337365986666	-0.581610793501981	0.269867244656454	0.469141622951524	-0.217553459729159
LU_TUMOR_VASCULATURE_UP	-0.390583819107243	-0.14921950093435	0.0122306399706469	0.230811386376579	0.305752989561927
SWEET_KRAS_TARGETS_UP	-0.101830307658114	-0.179418152230777	0.169964074868178	0.0733932793269501	-0.215130752037346
CROONQUIST_STROMAL_STIMULATION_UP	-0.580379826271133	-0.283080896721657	0.297245325207979	0.389827052044974	0.311027556423691
VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_UP	-0.427986746142826	-0.427315637751824	0.334196376772556	0.47021801828175	0.136322488598232
VALK_AML_CLUSTER_9	-0.478119655061303	-0.276088759667797	-0.0594513344963213	0.496171056527012	0.0447581066392873
LINDGREN_BLADDER_CANCER_HIGH_RECURRENCE	-0.323652970420039	-0.486999331572193	0.357354860192763	0.303845636145766	0.26130778554432
ROZANOV_MMP14_TARGETS_SUBSET	-0.52771185456472	-0.351175401793216	0.447654184695708	0.493861143644112	0.0809657908170275
VANHARANTA_UTERINE_FIBROID_UP	0.0848512860503593	-0.578988925761948	0.267188985296078	0.185370424588578	-0.0937676171507283
GILDEA_METASTASIS	-0.384983290739564	-0.238940069974499	-0.218116134732436	0.452524958347405	0.423568633294559
RIGGI_EWING_SARCOMA_PROGENITOR_DN	-0.296693890578738	-0.440761192108006	0.228026046565196	0.485534702702853	-0.143080572025794
LU_TUMOR_ANGIOGENESIS_UP	-0.455853442785235	-0.479923016087714	0.324742345348161	0.398176086647101	0.381004947065855
TSAI_RESPONSE_TO_RADIATION_THERAPY	-0.294745547473588	-0.224392603858795	-0.0137481880598237	0.388028128136262	0.192035668995255
WILCOX_PRESPONSE_TO_ROGESTERONE_DN	-0.359727951797974	-0.245138974625317	0.135420627260648	0.422354713533059	0.141337454360332
LIEN_BREAST_CARCINOMA_METAPLASTIC	-0.389352727876539	-0.669852403415273	0.444467498383487	0.593895683462234	0.0699335236565383
NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_UP	0.047207731297547	-0.457821305299364	0.24077257673578	0.191875548282308	0.208006429806237
HARRIS_HYPOXIA	-0.267063883299494	-0.419938362317608	0.455123344581728	0.0779682765154045	0.153595431051122
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_UP	-0.414503068617327	-0.503134771300971	0.201847402703738	0.556660252247545	0.26352827782462
WEINMANN_ADAPTATION_TO_HYPOXIA_DN	-0.295089454370842	-0.325724562008217	0.453405958628358	0.143939107764429	0.137772207464381
NAKAMURA_CANCER_MICROENVIRONMENT_UP	-0.115626300911163	-0.0703742760974377	-0.45046327459578	0.490630304367502	0.434748757451604
WILLIAMS_ESR1_TARGETS_UP	-0.279032733857667	-0.229088423188029	0.0386360008385903	0.111119890939966	0.384801315008798
DAVICIONI_TARGETS_OF_PAX_FOXO1_FUSIONS_DN	-0.390128033876899	0.0630838882758142	0.191651565155936	0.289139301054995	0.123509404965094
CHNG_MULTIPLE_MYELOMA_HYPERPLOID_UP	0.507727362719938	0.610733489453158	-0.551336871442102	-0.646908699007276	-0.343414511388679
VALK_AML_CLUSTER_13	-0.370681425867196	-0.369437523195064	0.400685301814053	0.236010714003838	0.000201978667719149
WANG_BARRETTS_ESOPHAGUS_UP	-0.33441871855811	0.0113980914156487	-0.232596869174098	0.48832363717512	0.191829098886092
BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP	-0.305434832872729	-0.531531134018356	0.0293770902117649	0.404410208733432	0.325843598873117
